req_id,type,priority,requirement,source,design_element,test_id,measurement_method,status
NFR-PERF-02,non-functional,Must,The 3D scene must maintain at minimum 30 FPS for 95% of a 60 second viewing session with 20 artwokrs in Chrome,Ch4 Performance,Performance 3D Gallery Load Times,T-014,Measure the fps when loading zooming and clicking onto artworks.,planned
NFR-REL-01,non-functional,Must,A viewer will not see a single/0 unhandled exceptions anything that fails they will get a message saying what happened and what to do next with throttled 3G internet in Chrome.,Ch4 Reliability,Unhandled Exceptions,T-015,Measured if there is a message for every failure possibility and results are recorded error-path test list is in the test plan with 1 test per failure mode,planned
NFR-AVA-02,non-functional,Must,An artist when running the system shall have 19 of the 20 artworks display when viewing 20 artworks in the galleries with throttled 3G internet in Chrome.,Ch4 Availability,Artworks Availability,T-016,Measured with successful artworks displayed and results recorded.,planned
NFR-SEC-01,non-functional,Must,There must not be any/0 Supabase keys passwords and secrets in the repository being saved from the gallery in any commit.,Ch4 Security,Handling Secrets,T-017,Measured by ensuring that .env is in the .gitignore and the .env.example only has example values. Run a search on the fully history not just the working tree to ensure that there are no secrets/0 secrets.,planned
NFR-SEC-02,non-functional,Must,There must not be any files names titles and fields that have been extracted 0 of these that are able to execute HTML or scripts when displayed,Ch4 Security,Unsafe Data,T-018,Measured by using unsafe titles and uploads that contain HTML and ensure that 0 payloads execute and change the page to display unexpected alerts or redirects to the viewer,planned
NFR-PRIV-01,non-functional,Must,When a artist uploads an artwork they must be able to delete the artworks and canvas information and it must not stay in the database, their must be 0 deleted artworks and canvas information left in the database 0 rows with only one action,Ch4 Privacy,Delete All Artwork Data,T-019,To measure this upload 20 artworks and canvas informations and ensure that all of them are deleted and delted from every table in the database make sure that when querying every table for the artworks and canvas information their must be 0 rows,planned
NFR-DATA-01,non-functional,Must,When a artist uploads artworks into the gallery the gallery must not save artwork files that are corrupt and duplicate artwork files, 0 corrupt and duplicate files should be saved in the database or on website.,Ch4 Data Handling,Corrupt Files,T-020,To measure this upload artwork files two times and make sure that the artwork can canvas information all display correctly and that the duplicate files are not kept/ 0 corrupt or duplicate artworks are kept.,planned
NFR-DATA-02,non-functional,Must,If any part of the muti-step upload fails it must leave 0 artworks and files and remove any incomplete records by that upload,Ch4 Data Handling,Incomplete Records,T-021,Test a failed upload at each stage and ensure that it has 0 incomplete records in the database and in the gallery,planned
NFR-ACC-01,non-functional,Must,A artist must be able to move around each component in at most 20 tabs total with only using a keyboard no mouse on Chrome,Ch4 Accessibility,Move Around With Only Tab,T-022,Only using a keyboard a artist should be able to reach the gallery and the upload tab/the 3 core tasks in at most 20 tabs without a mouse record if each spot was reached,planned
NFR-ACC-02,non-functional,Must,When using the tab key the artist should not lose their place on the website the indicator should be at least 50% opacity of a black when something has been tab to and it is hovering over a button/component it should be visible on the website on Chrome,Ch4 Accessibility,Tab Outlined,T-023,When using tab to go through the website each component and button tabbed to, should be outlined of a 50% opacity of a black for key indication that it has been tabbed too,planned
NFR-ACC-03,non-functional,Must,A artist must be able to tab through the website in a logical order with 0 components and buttons skipped when using tab and shift + tab on Chrome,Ch4 Accessibility,Tab In Logical Order,T-024,Using the tab key to move foward and shift + tab to move backwards it goes in a logical order missing 0/not missing any component or button, record if it was clear to do so,planned
NFR-USE-01,non-functional,Must,A first time viewer when running the website shall be able to navigate the artwork galleries with any component in 3 minutes without outside help with throttled 3G internet in Chrome.,Ch4 Usability,First Time Viewer Navigate,T-025,Measured with if the viewer is able navigate without outside help in their first session record how long it takes and if it was completed successfully,planned
NFR-USE-02,non-functional,Must,The interface must have 0 clipped and overlapping text or unusable overlays in the most common Chrome viewport sizes,Ch4 Usability,Overlapping Text,T-026,Ensure that the primary workflows at the viewport size works properly with 0 clipped and overlapping text and record results,planned
NFR-MNT-01,non-functional,Must,Successful clean clone check with 1 build fully successful under 10 minutes with using only the README 0 seeded artworks throttled "Fast 3G", Chrome,Ch4 Maintainability,Clean Clone Check,T-027,Clone the repository following the README on a clean machine, time it and record results,planned
